"Buckaroo 3 extended Achteraf Betalen","Buckaroo 3 extended Achteraf Betalen"
"Max amount (in euro)","Maximaal toegestande bedrag (in euro)"
"Number of days before invoice.","Dagen voor facturatie"
"Send email","verstuur e-mail"
"Allowed payment methods","Toegestande betaalmethodes"
"Buckaroo 3 extended Paysafecard","Buckaroo 3 extended Paysafecard"
"Buckaroo 3 extended Visa","Buckaroo 3 extended Visa"
"Buckaroo 3 extended Sofortbanking","Buckaroo 3 extended Sofortbanking"
"Buckaroo 3 extended American Express","Buckaroo 3 extended American Express"
"Buckaroo 3 extended Mastercard","Buckaroo 3 extended Mastercard"
"Buckaroo 3 extended Giropay","Buckaroo 3 extended Giropay"
"Buckaroo 3 extended directdebit","Buckaroo 3 extended directdebit"
"Buckaroo 3 extended OnlineGiro","Buckaroo 3 extended OnlineGiro"
"Buckaroo 3 extended Overschrijving","Buckaroo 3 extended Overschrijving"
"E-mail language","E-mail taal"
"Invoice Date (in days)","Facturatie datum (in days)"
"Due Date (in days)","Dagen voor betaling (in days)"
"Should Buckaroo send an email with details regarding the transfer?","Moet Buckaroo een e-mail versturen met verdere betaal instructies?"
"Buckaroo 3 extended PayPal","Buckaroo 3 extended PayPal"
"Buckaroo 3 extended PayPerEmail","Buckaroo 3 extended PayPerEmail"

"Enable or disable Buckaroo","Zet de Buckaroo module aan of uit."
"This is useful to test Buckaroo before customers have a chance to use it.","Dit is nuttig om de Buckaroo module te testen voordat klanten er gebruik van kunnen maken."
"Enter you Buckaroo merchant key.","Vul uw Buckaroo merchant key in."
"Enter you Buckaroo digital signature.","Vul uw Buckaroo digitale handtekening in."
"Beware that test orders will still appear in Buckaroo Plaza as regular orders","Pas op: test orders verschijnen in Payment Plaza als reguliere orders."
"This description will appear with orders in Buckaroo Plaza","Deze omschrijving zal vrschijnen in Payment Plaza"
"Successful orders will have this status in the back-end.","Succesvolle orders zullen deze status krijgen."
"Unsuccessful orders will have this status when viewed in the back-end.","Mislukte orders zullen deze status krijgen."
"Orders which are awaiting payment will have this status when viewed in the back-end.","Orders die in afwachting van betaling zijn, zullen deze status krijgen."
"Some modules and Magento settings can cause the cart to stay filled after checkout. Setting this option to 'yes' will tell the module to manually empty the cart when an order has been places successfully.","Sommige modules en Magento instellingen kunnen ervoor zorgen dat het winkelmandje gevuld blijft na een succesvolle betaling. Deze optie maakt het mogelijk dat de module het winkelmandje automatisch leegt na een succesvolle betaling."
"This status will be given to newly placed orders.","Deze status krijgen nieuwe orders."
"Whether successfully paid orders should be invoiced automatically.","Dit zorgt ervoor dat succesvolle orders automatisch gefactureerd worden."
"Should an invoice email be sent automatically?","Dient de factuur e-mail automatisch verstuurd te worden?"
"Beware that entering your email address here can quickly fill up your inbox. We recommend you only enter an email address here for a short period of time.","Pas op: als u uw e-mail adres invult, kan uw e-mail inbox snel vollopen."
"Display order updates after the order has received canceled, complete, success, holded or closed state.","Toon order updates voor orders die al processing, closed, complete of cancelled state hebben."
"Enable or disable only this payment option.","Activeer of deactiveer deze betaalmthode."
"Beware that test orders will still appear in Buckaroo Plaza as regular orders. Setting this to 'Test' will also force 'Display only for certain IP-addresses' to 'yes'.","Pas op: test orders verschijnen in Payment Plaza als reguliere orders."
"This will determine the label of the payment method as it appears to customers.","Dit bepaalt de title van de betaalmethode zoals deze aan de klant getoond wordt."
"Only available if 'Payment from applicable countries' is set to 'specific countries'.","Enkel beschikbaar als 'Betaling vanuit toegestane landen' op specifiek is gezet."
"Successful orders will have this status in the back-end. Leave empty to use the status defined in Buckaroo 3 extended Config.","Laat leeg om de status die onder basis instellingen is geslecteerd te gebruiken."
"Unsuccessful orders will have this status when viewed in the back-end. Leave empty to use the status defined in Buckaroo 3 extended Config.","Laat leeg om de status die onder basis instellingen is geslecteerd te gebruiken."
"This determines the order in which payment options will appear to the customer.","Dit bepaalt de volgorde waarin betaalmethodes aan de klant worden getoond."
"Select which currencies can be used with this payment method","Selecteer welke valuta gebruikt kunnen worden met deze betaalmthode."
"Maximum amount which can be paid using this payment option.","Maximale bedrag waarbij deze betaalmethode beschikbaar is."
"The number of days before Buckaroo invoices the order. Maximum is 30.","Aantal dagen voordat Buckaroo de bestelling factureerd. maximum is 30."
"Whether Buckaroo should send an email to the customer with details as to how and when they should pay.","Bepaalt of Buckaroo een e-mail moet sturen naar de klant met verdere betaalinstructies."
"Select which payment methods are available to customers using paymentguarantee","Selecteer met welke betaalmethodes klanten hun Achteraf Betalen betaling kunnen voldoen."
"If the order grandtotal exceeds this amount, the Betaalgarant payment option will not appear to the user. Leave empty to allow this payment method to appear to all users.","Bepaalt tot welk bedrag deze betaalmethode beschikbaar is voor klanten. laat leeg om deze betaalmthode voor alle bedragen te tonen."
"Buckaroo will send the customer an e-mail with payment instructions. This field determines what language should be used for that e-mail.","Dit bepaalt de taal waarin de e-mail met betaalinstructies van Buckaroo verstuurd zal worden."
"Specify the amount of days before Buckaroo invoices the order and sends out the 'Overschrijving' mail.","Bepaal het aantal dagen voordat Buckaroo de bestelling factureert."
"Specify the number of days the customer has to complete their payment before the first reminder e-mail will be sent by Buckaroo.","Bepaal het aantal dagen dat de klant heeft om zijn/haar betaling te voldoen."
"Successful orders will have this status in the back-end. Leave empty to use the status defined in Buckaroo 3 extended Config.","Succesvolle orders zullen deze status hebben."

"If set to yes, Buckaroo payment options will only display for users with an IP address listed in Configuration > Developer > Developer Client Restrictions."."Indien deze optie aanstaat, zal de betaalmethode enkel verschijnen voor klanten wiens IP-adres voorkomt in de lijst die u heeft ingevuld in Configuration > Developer > Developer Client Restrictions."
"You can find your Buckaroo merchant key by logging into Buckaroo Payment Plaza and selecting 'profiel' -> 'Websites', then select your website; your merchant key will display at the top of the displayed form.","U kunt uw merchant key vinden door in te loggen op uw Payment Plaza account en dan te gaan naar 'profiel' -> 'Websites'. Daar selecteert u uw website. Uw merchant key staat bovenaan het getoonde formulier."
"You can find your Buckaroo merchant key by logging into Buckaroo Payment Plaza and selecting 'Configuratie' -> 'Secret key voor Digitale handtekening'.","U kunt uw digitale handtekening vinden door in te loggen op uw Payment Plaza account en dan te gaan naar 'Configuratie' -> 'Secret key voor Digitale handtekening'."
"This is the page that users will be redirected to after they have successfully placed an order. Only change this value if you have a custom page for this that contains all the functionality of the default 'checkout/onepage/success' page.","Dit is de pagina waar klanten naartoe gestuurd worden na een succesvolle betaling."
"This is the page that users will be redirected to after they have unsuccessfully placed an order. Only change this value if you have a custom page for this that contains all the functionality of the default 'checkout/' page.","Dit is de pagina waar klanten naartoe gestuurd worden na een onsuccesvolle betaling."
"Only turn this setting off if you wish to invoice all successful orders manually.","Zet deze optie enkel uit als u alle orders handmatig wilt factureren."
"Enter your email address here to recieve debug e-mails containing details regarding the workflow of every order that has been placed and every order that recieves an update by Buckaroo.","Vul hier uw e-mail adres in om voor elke aanpassing die een order krijgt van Buckaroo een e-mail te ontvangen met een uitgebreide beschrijving van de aaanpssing en het proces dat die aanpassing tot stand heeft doen komen."
"Orders which have been processed correctly often still recieve further updates from Buckaroo. This is to make sure that the original update has been processed correctly. Setting this option to 'yes' will allow these updates to be displayed in the back-end. This is useful for debugging purposes.","Orders die voltooid zijn, krijgen soms nog verdere updats van Buckaroo. Zet deze optie aan om deze updates te tonen."
"This determines if failed orders should be automatically canceled. Canceled orders will no longer recieve updates regardless of any further actions taken. We recommend you leave this on 'Yes' at all times.","Dit bepaalt of de module automatisch mislukte bestellingen moet annuleren."
"If set to yes, Buckaroo payment options will only display for users with an IP address listed in Configuration > Developer > Developer Client Restrictions.","Indien deze optie aanstaat, zullen Buckaroo Betaalmethodes enkel verschijnen voor klanten wiens IP-adres voorkomt in de lijst die u heeft ingevuld in Configuration > Developer > Developer Client Restrictions."
"Select whether all countries may make use of this payment option, or only specific countries.","Selecteer of enkel specifieke landen gebruik kunnen maken van deze betaalmethode."
"Define which countries are allowed to make use of this payment option.","Selecteer welke landen gebruik kunnen maken van deze betaalmethode."
"This option does not affect the workflow.","Deze optie heeft geen invloed op de workflow."
"Your contract with Buckaroo must allow for the selected currencies to be used with this payment method.","Uw Buckaroo abonnement bepaalt welke valuta beschikbaar zijn voor deze betaalmethode."
"If the order grandtotal exceeds this amount, the Betaalgarant payment option will not appear to the user. Leave empty to allow this payment method to appear to all users.","Laat dit veld leeg om deze betaalmethode altijd te tonen."
"This should be an approximation of how long it will take your webshop to completely process the order. After this amount of days the customer will be informed of how they should proceed to pay for their order. After this, the customer has 14 days to pay their bill.","Na dit aantal dagen heeft de klant 14 dagen om zijn/haar betaling te voldoen."
"Only disable this if you wish to send these emails yourself. Otherwise, customers will not be aware how and when they should pay for their order.","Zet deze optie enkel uit als u deze e-mails handmatig wilt versturen."
"These options will be presented to the customer after Buckaroo has invoiced the order.","Deze opties zullen beschikbaar zijn voor klanten nadat Buckaroo de order heeft gefactureerd."
"You can add custom templates for each language in Buckaroo Payment Plaza.","U kunt voor elke taal een custom template aangeven in Payment Plaza."

"Accountnumber","Rekeningnummer"
"Male","Man"
"Female","Vrouw"
"Gender","Geslacht"

"You will be redirected to the èM! Payment website to finalize your payment. ","U wordt doorgestuurd naar de website van èM! Payment om uw betaling af te ronden."
"You will be redirected to the Buckaroo website when you place your order. ","U wordt naar de website van Buckaroo doorverwezen wanneer u uw bestelling plaatst."
